filename,full_path,building,image_type,datetime,latitude,longitude,resolution,camera_make,camera_model
IRX_0190.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0190.JPG,Unknown,Thermal,2022-11-02 11:12:28,40.51554304,-74.43368704,640x512,Autel Robotics,XT706
IRX_0191.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0191.JPG,Unknown,Thermal,2022-11-02 11:12:30,40.51552317,-74.43371383,640x512,Autel Robotics,XT706
IRX_0192.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0192.JPG,Unknown,Thermal,2022-11-02 11:12:32,40.51549871,-74.43375809,640x512,Autel Robotics,XT706
IRX_0193.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0193.JPG,Unknown,Thermal,2022-11-02 11:12:34,40.51546786,-74.43380429,640x512,Autel Robotics,XT706
IRX_0194.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0194.JPG,Unknown,Thermal,2022-11-02 11:12:36,40.51540645,-74.43386584,640x512,Autel Robotics,XT706
IRX_0195.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0195.JPG,Unknown,Thermal,2022-11-02 11:12:38,40.51533409,-74.43391048,640x512,Autel Robotics,XT706
IRX_0196.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0196.JPG,Unknown,Thermal,2022-11-02 11:12:40,40.51526216,-74.43393723,640x512,Autel Robotics,XT706
IRX_0197.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0197.JPG,Unknown,Thermal,2022-11-02 11:12:45,40.51513473,-74.4339353,640x512,Autel Robotics,XT706
IRX_0198.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0198.JPG,Unknown,Thermal,2022-11-02 11:12:49,40.51502321,-74.4338909,640x512,Autel Robotics,XT706
IRX_0199.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0199.JPG,Unknown,Thermal,2022-11-02 11:12:51,40.51497627,-74.43385172,640x512,Autel Robotics,XT706
IRX_0200.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0200.JPG,Unknown,Thermal,2022-11-02 11:12:54,40.51493696,-74.43384243,640x512,Autel Robotics,XT706
IRX_0201.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0201.JPG,Unknown,Thermal,2022-11-02 11:12:57,40.51487666,-74.43377114,640x512,Autel Robotics,XT706
IRX_0202.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0202.JPG,Unknown,Thermal,2022-11-02 11:13:00,40.5148532,-74.43372646,640x512,Autel Robotics,XT706
IRX_0203.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0203.JPG,Unknown,Thermal,2022-11-02 11:13:03,40.51481317,-74.43364451,640x512,Autel Robotics,XT706
IRX_0204.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0204.JPG,Unknown,Thermal,2022-11-02 11:13:06,40.51479659,-74.43356873,640x512,Autel Robotics,XT706
