Filename,SourceFile,Phi (Pitch),Kappa (Yaw),Omega (Roll),Latitude,Longitude,Altitude
MIX_2033.JPG,/mnt/d/DCIM/107MEDIA/MIX_2033.JPG,,,,"40 deg 31' 25.40"" N","74 deg 27' 35.72"" W",50.9 m Above Sea Level
IRX_2033.JPG,/mnt/d/DCIM/107MEDIA/IRX_2033.JPG,,,,"40 deg 31' 25.40"" N","74 deg 27' 35.72"" W",50.9 m Above Sea Level
MAX_2033.JPG,/mnt/d/DCIM/107MEDIA/MAX_2033.JPG,,,,"40 deg 31' 25.40"" N","74 deg 27' 35.75"" W",50.9 m Above Sea Level
MIX_2034.JPG,/mnt/d/DCIM/107MEDIA/MIX_2034.JPG,,,,"40 deg 31' 25.40"" N","74 deg 27' 35.75"" W",50.9 m Above Sea Level
IRX_2034.JPG,/mnt/d/DCIM/107MEDIA/IRX_2034.JPG,,,,"40 deg 31' 25.40"" N","74 deg 27' 35.75"" W",50.9 m Above Sea Level
MAX_2034.JPG,/mnt/d/DCIM/107MEDIA/MAX_2034.JPG,,,,"40 deg 31' 25.42"" N","74 deg 27' 35.78"" W",50.9 m Above Sea Level
MIX_2035.JPG,/mnt/d/DCIM/107MEDIA/MIX_2035.JPG,,,,"40 deg 31' 25.42"" N","74 deg 27' 35.78"" W",50.9 m Above Sea Level
IRX_2035.JPG,/mnt/d/DCIM/107MEDIA/IRX_2035.JPG,,,,"40 deg 31' 25.42"" N","74 deg 27' 35.78"" W",50.9 m Above Sea Level
MAX_2035.JPG,/mnt/d/DCIM/107MEDIA/MAX_2035.JPG,,,,"40 deg 31' 25.43"" N","74 deg 27' 35.80"" W",50.9 m Above Sea Level
MIX_2036.JPG,/mnt/d/DCIM/107MEDIA/MIX_2036.JPG,,,,"40 deg 31' 25.43"" N","74 deg 27' 35.80"" W",50.9 m Above Sea Level
IRX_2036.JPG,/mnt/d/DCIM/107MEDIA/IRX_2036.JPG,,,,"40 deg 31' 25.43"" N","74 deg 27' 35.80"" W",50.9 m Above Sea Level
MAX_2036.JPG,/mnt/d/DCIM/107MEDIA/MAX_2036.JPG,,,,"40 deg 31' 25.43"" N","74 deg 27' 35.83"" W",50.9 m Above Sea Level
MIX_2037.JPG,/mnt/d/DCIM/107MEDIA/MIX_2037.JPG,,,,"40 deg 31' 25.43"" N","74 deg 27' 35.83"" W",50.9 m Above Sea Level
IRX_2037.JPG,/mnt/d/DCIM/107MEDIA/IRX_2037.JPG,,,,"40 deg 31' 25.43"" N","74 deg 27' 35.83"" W",50.9 m Above Sea Level
MAX_2037.JPG,/mnt/d/DCIM/107MEDIA/MAX_2037.JPG,,,,"40 deg 31' 25.45"" N","74 deg 27' 35.83"" W",50.9 m Above Sea Level
MIX_2038.JPG,/mnt/d/DCIM/107MEDIA/MIX_2038.JPG,,,,"40 deg 31' 25.45"" N","74 deg 27' 35.83"" W",50.9 m Above Sea Level
IRX_2038.JPG,/mnt/d/DCIM/107MEDIA/IRX_2038.JPG,,,,"40 deg 31' 25.45"" N","74 deg 27' 35.83"" W",50.9 m Above Sea Level
